x,y
"-31.385510510510507,",57550.17203
"-30.218208593208587,",57145.09769
"-26.71630284130284,",57416.26316
"-23.21439708939709,",57957.68108
"-20.87979325479325,",58093.41599
"-17.377887502887504,",58229.45523
"-9.206774081774071,",57826.20692
"-8.039472164472159,",57286.00634
"-5.704868329868319,",56340.73143
"-4.537566412566406,",55800.53086
"-2.7866135366135296,",55192.91934
"-0.4520097020096898,",55328.65424
"1.8825941325941358,",55464.38915
"3.633547008547012,",54991.90386
"5.968150843150852,",54316.8814
"8.302754677754692,",53912.11139
"12.971962346962357,",54588.95988
"19.975773850773862,",54320.53346
"21.143075768075775,",54591.09025
"22.310377685377702,",54861.64704
"28.14688727188728,",55133.42119
"31.648793023793033,",55404.58666
"35.150698775698785,",56081.13081
"36.3180006930007,",56621.94006
"37.485302610302625,",57162.74931
"38.65260452760454,",57703.55856
"51.492925617925636,",55004.38173
"54.99483136983139,",54735.04229
"56.162133287133315,",54194.84172
"58.49673712173714,",54330.57662
"65.50054862554865,",55143.16002
"66.66785054285054,",55413.71681
"74.83896396396398,",56091.47832
"78.34086971586973,",55551.88642
"80.67547355047355,",55282.24264
"84.17737930237931,",55823.66057
"87.67928505428506,",56635.33095
"88.84658697158699,",56905.88774
"101.68690806190807,",56503.85678
"104.02151189651192,",57180.0966
"109.27437052437054,",56708.52432
"112.19262531762533,",56371.4696
"115.69453106953108,",55426.49902
"120.36373873873876,",54616.95901
"126.20024832524834,",55429.23807
"129.7021540771541,",56105.78222
"130.86945599445602,",56646.59147
"132.03675791175795,",57052.27449
"133.7877107877108,",57660.79902
"138.4569184569185,",57189.07458
"142.5424751674752,",57730.64467
"144.87707900207903,",57866.37958
"147.79533379533382,",57799.57731
"150.12993762993764,",57529.93353
"151.88089050589053,",57327.7007
"158.88470200970204,",58410.53655
"160.05200392700397,",58681.09334
"169.3904192654193,",56994.4502
"170.55772118272122,",56183.99718
"174.05962693462695,",55847.09462
"181.64708939708945,",57403.02444
"183.98169323169324,",57133.38066
"185.73264610764616,",57201.40028
"186.89994802494803,",57607.0833
"189.23455185955189,",57877.94444
"192.73645761145767,",58013.98368
"195.07106144606146,",57744.3399
"196.2383633633634,",56933.88687
"197.40566528066532,",56123.43385
"198.57296719796724,",55312.98082
"200.90757103257104,",55043.33704
"203.2421748671749,",54165.62524
"203.2421748671749,",53962.93589
"204.40947678447682,",52274.16239
"204.40947678447682,",52071.47305
"205.57677870177875,",51396.14625
"210.8296373296374,",52816.34116
"212.58059020559025,",51938.47719
"213.74789212289218,",51128.02416
"214.91519404019405,",50317.57113
"216.08249595749598,",49507.1181
"217.2497978747979,",47142.71346
"217.2497978747979,",46872.461
"217.2497978747979,",46602.20855
"217.2497978747979,",46399.5192
"218.41709979209983,",43899.98833
"219.58440170940176,",42886.84596
"220.7517036267037,",41806.14048
"221.91900554400556,",40725.435
"223.08630746130748,",39644.72951
"224.2536093786094,",38631.58714
"226.00456225456227,",38226.66497
"227.7555151305152,",38429.81082
"228.92281704781706,",39308.43564
"230.090118965119,",41065.38093
"231.25742088242092,",42687.2
"232.42472279972284,",44444.1453
"233.59202471702477,",44984.95455
"233.59202471702477,",44782.26521
"234.7593266343267,",44039.3753
"237.0939304689305,",43972.42086
"239.42853430353435,",44378.40822
"241.7631381381382,",45122.21115
"242.93044005544007,",46203.52531
"244.097741972742,",47217.27635
"245.26504389004393,",48028.33806
"246.43234580734585,",48839.39976
"247.59964772464778,",49650.46147
"254.6034592284593,",48301.02522
"261.60727073227076,",50059.49221
"263.9418745668746,",50533.04268
"265.1091764841765,",49722.58966
"266.27647840147847,",49520.20465
"268.6110822360823,",50196.44447
"271.52933702933706,",50805.27334
"277.9494975744976,",49658.37426
"279.1167994917995,",50199.18351
"281.45140332640335,",51415.92824
"283.2023562023562,",51956.88966
"284.9533090783091,",51281.71503
"286.12061099561106,",50606.38823
"294.2917244167245,",51149.0235
"295.45902633402636,",52095.21144
"296.62632825132835,",52906.27314
"297.7936301686302,",53447.08239
"298.9609320859321,",53987.89164
"300.12823400323407,",54528.70089
"302.4628378378379,",54394.18334
"303.6301397551398,",54124.23522
"304.79744167244166,",53854.2871
"307.1320455070455,",53179.26464
"308.2993474243475,",52639.06407
"312.9685550935551,",54261.79615
"317.0541118041118,",55276.30805
"318.8050646800647,",54668.69653
"319.97236659736666,",54128.49596
"329.31078193578196,",55076.81426
"333.3963386463387,",55821.07369
"335.14729152229154,",55618.84086
"336.3145934395935,",55956.96077
"338.0655463155464,",56227.66973
"340.40015015015024,",55958.02595
"343.31840494340497,",56161.47614
"345.6530087780088,",56432.33727
"349.15491452991455,",55892.74538
"356.1587260337261,",56570.20254
"357.326027951028,",56300.25443
"359.66063178563184,",56300.8631
"361.9952356202357,",57517.60783
"372.500952875953,",57385.22065
"376.5865095865097,",55967.46044
"383.00667013167015,",56982.58101
"384.17397204897213,",56712.63289
"385.341273966274,",55902.17986
"387.67587780087786,",55092.03117
"388.8431797181797,",54822.08306
"390.0104816354817,",54552.13494
"392.34508547008556,",54147.36493
"395.8469912219913,",55026.59843
"397.01429313929316,",55770.09702
"404.0181046431047,",55771.92305
"405.1854065604066,",55096.59625
"406.3527084777086,",54556.39568
"407.52001039501044,",53881.06888
"419.1930295680296,",54424.61717
"423.2785862785863,",54493.24547
"425.0295391545392,",54696.39132
"426.19684107184116,",54966.94811
"427.947793947794,",55575.47264
"432.6170016170016,",55103.7482
"436.70255832755834,",55375.06584
"440.20446407946406,",55240.85263
"443.7063698313699,",54566.13451
"444.87367174867177,",53552.99214
"446.04097366597375,",52539.84977
"447.7919265419266,",51932.23825
"449.5428794178795,",52135.3841
"450.71018133518135,",52946.4458
"451.87748325248333,",53757.50751
"453.0447851697852,",54568.56921
"454.21208708708707,",55379.63092
"455.37938900438905,",56190.69262
"456.5466909216909,",56866.6281
"457.7139928389929,",57542.56357
"460.04859667359676,",57543.17225
"463.5505024255025,",57138.70658
"467.0524081774082,",57004.49337
"469.38701201201206,",56869.97582
"472.8889177639178,",57411.39374
"479.89272926772935,",57413.21978
"481.0600311850312,",57954.02902
"483.3946350196351,",58900.52129
"485.14558789558794,",59509.04583
"486.8965407715408,",59441.93922
"493.90035227535236,",59984.27016
"495.06765419265423,",60254.82695
"497.4022580272581,",60390.56186
"499.73686186186194,",59175.03449
"510.2425791175791,",59853.40467
"511.4098810348811,",60664.46637
"512.577182952183,",61340.40185
"513.744484869485,",62016.33733
"514.9117867867868,",62827.39903
"516.0790887040888,",63368.20828
"517.8300415800417,",63841.60659
"520.1646454146454,",63707.08903
"524.2502021252021,",63640.59111
"530.0867117117118,",64182.61771
"532.4213155463156,",64588.60507
"533.5886174636175,",64183.53072
"534.7559193809194,",63373.0777
"539.4251270501271,",62698.66391
"544.0943347193348,",63916.01731
"545.2616366366367,",64456.82656
"555.183702933703,",67094.37488
"557.5183067683068,",66824.7311
"559.2692596442597,",67163.00318
"560.4365615615616,",67568.6862
"562.7711653961654,",67163.91619
"565.1057692307693,",66759.14618
"567.4403730653731,",66354.37618
"568.607674982675,",66895.18543
"569.774976899977,",68111.62581
"574.4441845691846,",67977.71694
"580.2806941556942,",68789.996
"584.9499018249019,",67439.95107
"586.1172037422039,",67170.00296
"588.4518075768076,",66630.10672
"593.1210152460153,",65144.93557
"594.2883171633172,",66023.56039
"594.2883171633172,",65820.87105
"601.8757796257797,",68052.432
"603.6267325017326,",67579.94672
"608.2959401709402,",66770.4067
"610.630544005544,",67716.89897
"613.5487987987989,",68595.9803
"616.4670535920536,",67313.04198
"617.6343555093556,",67043.09387
"622.8872141372142,",67787.65764
"625.805468930469,",67450.60292
"628.1400727650728,",66775.58045
"630.4746765996766,",66641.0629
"631.6419785169786,",67181.87215
"632.8092804342805,",67857.80763
"634.5602333102333,",68466.33216
"636.3111861861862,",67993.84687
"638.6457900207901,",67048.57196
"640.3967428967429,",66508.52355
"643.8986486486488,",67117.50459
"645.6496015246016,",66374.76685
"647.9842053592055,",66105.12307
"651.4861111111112,",66241.16231
"653.820714945715,",66647.14967
"654.9880168630169,",67323.08515
"656.1553187803188,",67863.8944
"657.3226206976208,",68404.70365
"658.4899226149226,",68945.51289
"660.8245264495265,",68675.86912
"661.9918283668285,",68405.921
"671.3302437052438,",68002.97702
"672.4975456225457,",67733.02891
"673.6648475398476,",67192.82833
"674.8321494571495,",66652.62776
"675.9994513744515,",66112.42719
"677.7504042504044,",65910.19435
"680.0850080850081,",66181.05549
"681.8359609609611,",66384.20134
"686.5051686301687,",66115.16623
"690.0070743820745,",66251.20548
"693.5089801339802,",66657.49717
